,homicide_rate_log,institution_index,fdi_percent_gdp,gdp_growth
homicide_rate_log,1.0,0.3052497509213116,0.10318551449442787,-0.13661080625505537
institution_index,0.3052497509213116,1.0,0.18678014900214185,-0.16103923551133723
fdi_percent_gdp,0.10318551449442787,0.18678014900214185,1.0,0.03338897818442254
gdp_growth,-0.13661080625505537,-0.16103923551133723,0.03338897818442254,1.0
