country_code,country_name,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7
COL,Colombia,2000,-3.6738073202699053,-2.9467237253973195,1.2500279887860368,-3.3908609201785875,-1.6407431193983713,-0.4394577088991158,-0.1263511451693359
COL,Colombia,2002,-3.5418128328879255,-2.6295205290730674,0.7497357366342678,-2.5528603598796074,-1.4747503913906053,0.0015657986008567229,0.40616064504182997
COL,Colombia,2003,-3.349177624173456,-2.371070169460378,0.8847270369442051,-2.428475625225011,-1.2935426694004772,0.44041508995208906,0.39612356269198684
COL,Colombia,2004,-2.4917144364728494,-2.603308821144226,1.1594955795871356,-2.154476675749083,-1.4383009708970733,0.45144779319682843,0.37228270076270054
COL,Colombia,2005,-1.982067204305992,-1.9579934067426574,1.7380760214194746,-1.6095013583344047,-1.5225366868566657,-0.22591196102309394,-0.03805754317763253
COL,Colombia,2006,-1.9244771925380042,-2.36212692437794,1.8995329376515737,-0.5546406283578451,-1.1138705605347163,0.04291572767952633,0.14812963373712013
COL,Colombia,2007,-1.6032453676046896,-2.5082015756607503,2.0283134109487175,-0.42067869526363133,-0.8338851809291716,0.062203846831753055,0.09449854962552076
COL,Colombia,2008,-1.5402286294064742,-2.7235418122742576,1.7316211092578657,-0.6145801990260089,-0.35994269069881774,-0.4882270735076346,-0.09464061978113807
COL,Colombia,2009,-1.721707679897786,-3.064190070439623,1.0924372881042865,-0.46687473046002154,-0.5114509890670533,-0.8286198756020422,-0.29695213293536643
COL,Colombia,2010,-1.53788775228274,-2.841372123119774,0.8293127900230943,-0.25055769512073633,-1.1065742683633053,0.2801829150940549,-0.16542282304408773
COL,Colombia,2011,-0.9270667794543461,-2.5374239963178016,1.7245744039935589,0.11087575744373497,-1.0389309614558808,0.20302030033408372,0.06974920749513326
COL,Colombia,2012,-1.3167389926896735,-2.607847629184982,1.3168008106504576,0.23447091555123792,-0.8376125608855963,-0.269515276226086,-0.2429234948297574
COL,Colombia,2013,-1.2496244095295679,-2.4712344512051327,1.4261560908569846,0.5853976272441417,-0.9884369402856176,-0.09186291760967677,-0.31572181618789064
COL,Colombia,2014,-0.9090558609827225,-2.523846145633952,1.308742264058339,0.6471616978839951,-0.5555950528117338,-0.07885288998706076,-0.3908955070532484
