country_code,country_name,year,control_corruption,political_stability,rule_of_law,homicide_rate,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
COL,Colombia,2000,35.2865308,29.8839848,38.8722855,67.8921586309151,15.915139715438,2.43950747934181,2.92486148176778,2555.00751039968,9.22534818585365,39089934.0,707000.0,20.52
COL,Colombia,2002,43.1304513,25.3197419,43.0749396,70.3960948977152,14.8155696775272,2.17844751407948,2.50398046659659,2428.92969771584,6.35150728778872,40324680.0,661000.0,14.481
COL,Colombia,2003,44.2469541,26.0280015,43.8729139,57.4608630160922,16.5752997117627,1.81783931129221,3.91827190322513,2311.94218760291,7.1297886294186,40937429.0,668000.0,13.221
COL,Colombia,2004,46.3593505,31.939793,47.8045975,48.6481875848116,16.7707514248023,2.66083488771203,5.33302206759905,2818.57195413044,5.90402005546502,41543171.0,840000.0,13.717
COL,Colombia,2005,45.8270002,31.7315837,47.3314856,42.9894132012747,16.9710437391629,7.02979401438219,4.82876110773741,3456.06610874512,5.05101962689695,42128977.0,981000.0,11.062
COL,Colombia,2006,43.7548743,34.5742712,47.4503858,40.9429758324124,17.7285877506525,4.17238510059526,6.71686869844402,3789.85361217027,4.29342363628926,42691084.0,2096000.0,11.088
COL,Colombia,2007,42.5056073,38.2877257,49.4009901,39.7776140409658,16.4331421263646,4.30867680626701,6.73819469090975,4769.926147194,5.54438485815155,43235374.0,2381000.0,11.204
COL,Colombia,2008,43.1971573,37.8071024,49.9302984,36.8840024517578,18.1095951350739,4.35627834630067,3.28344618616541,5541.83629665898,6.9968849555451,43758808.0,2545000.0,11.273
COL,Colombia,2009,41.9935632,39.1755145,48.9970118,35.7272410703666,16.4244956875755,3.45627065154005,1.13964864548062,5250.97292433518,4.20251661216481,44271541.0,2649000.0,12.066
COL,Colombia,2010,40.2418143,43.1639794,50.7518616,34.5241750628259,16.3408447597691,2.24433595561184,4.49465897070922,6398.2958447102,2.27200227892008,44777319.0,1701000.0,11.153
COL,Colombia,2011,43.6714103,45.9787128,50.2483332,35.6322084408409,19.2765050733171,4.37269536127322,6.94789198173555,7400.9940695669,3.4150334477625,45259614.0,2356000.0,10.288
COL,Colombia,2012,39.5560695,43.151392,49.2600929,35.9613009153726,18.8112052836654,4.05728041313345,3.91263576716115,8108.59838244229,3.16930188840055,45715810.0,2434000.0,9.959
COL,Colombia,2013,38.9235722,43.7037921,48.6401238,33.4159707994424,18.0864397214368,4.24252457969381,5.13399351995672,8279.10255642981,2.01699224310383,46151584.0,2595000.0,9.246
COL,Colombia,2014,40.3387065,48.8925418,49.8831049,28.654305199833,16.6347491096509,4.24107256687862,4.49903000110972,8187.20824890084,2.89883787761737,46565429.0,2866000.0,8.799
COL,Colombia,2015,41.4314416,49.5727208,50.0884527,27.2152782480106,15.6502115094968,3.95939854860993,2.95590137527523,6248.51490534512,4.98983115849529,46969940.0,3371000.0,8.572
COL,Colombia,2016,40.3758051,50.9727937,50.9612969,26.1438669043183,14.7171392781975,4.90164572903473,2.08738250162794,5959.84250367574,7.51346024627674,47437512.0,3675000.0,8.922
COL,Colombia,2017,39.5383299,52.5716247,50.6762137,25.5510587151196,15.1452897484005,4.3931823276543,1.35936086788746,6479.53231292429,4.3143132569501,48131078.0,4056000.0,9.086
COL,Colombia,2018,41.405998,54.5255309,49.701606,23.8207594532571,15.8997196775431,3.38083573220188,2.56432428277704,6816.96818309544,3.24056932930569,49024465.0,4397000.0,9.36
