country_code,country_name,year,control_corruption,political_stability,rule_of_law,homicide_rate,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment,population_log,gdp_per_capita_log,tourist_arrivals_log,homicide_rate_winsor,homicide_rate_log,trade_percent_gdp,time_trend,homicide_rate_lag1,homicide_rate_log_lag1,homicide_rate_lag2,homicide_rate_log_lag2,homicide_rate_lag3,homicide_rate_log_lag3
COL,Colombia,2000,35.2865308,29.8839848,38.8722855,67.8921586309151,15.915139715438,2.43950747934181,2.92486148176778,2555.00751039968,9.22534818585365,39089934.0,707000.0,20.52,17.481375549356354,7.845810442124553,13.468787359304866,67.8921586309151,4.2325423635736925,,0,,,,,,
COL,Colombia,2002,43.1304513,25.3197419,43.0749396,70.3960948977152,14.8155696775272,2.17844751407948,2.50398046659659,2428.92969771584,6.35150728778872,40324680.0,661000.0,14.481,17.51247424642019,7.795205985691528,13.401510631691982,70.3960948977152,4.268243174540494,,2,67.8921586309151,4.2325423635736925,,,,
COL,Colombia,2003,44.2469541,26.0280015,43.8729139,57.4608630160922,16.5752997117627,1.81783931129221,3.91827190322513,2311.94218760291,7.1297886294186,40937429.0,668000.0,13.221,17.527555337007097,7.745843224117566,13.41204494952365,57.4608630160922,4.068357522079989,,3,70.3960948977152,4.268243174540494,67.8921586309151,4.2325423635736925,,
COL,Colombia,2004,46.3593505,31.939793,47.8045975,48.6481875848116,16.7707514248023,2.66083488771203,5.33302206759905,2818.57195413044,5.90402005546502,41543171.0,840000.0,13.717,17.54224370956042,7.943985636424234,13.641158361294979,48.6481875848116,3.9049618859943185,,4,57.4608630160922,4.068357522079989,70.3960948977152,4.268243174540494,67.8921586309151,4.2325423635736925
COL,Colombia,2005,45.8270002,31.7315837,47.3314856,42.9894132012747,16.9710437391629,7.02979401438219,4.82876110773741,3456.06610874512,5.05101962689695,42128977.0,981000.0,11.062,17.55624635167605,8.14788625842882,13.796328757914972,42.9894132012747,3.7839489959053183,,5,48.6481875848116,3.9049618859943185,57.4608630160922,4.068357522079989,70.3960948977152,4.268243174540494
COL,Colombia,2006,43.7548743,34.5742712,47.4503858,40.9429758324124,17.7285877506525,4.17238510059526,6.71686869844402,3789.85361217027,4.29342363628926,42691084.0,2096000.0,11.088,17.569500650775314,8.240082672573331,14.555541801522192,40.9429758324124,3.736310977472892,,6,42.9894132012747,3.7839489959053183,48.6481875848116,3.9049618859943185,57.4608630160922,4.068357522079989
COL,Colombia,2007,42.5056073,38.2877257,49.4009901,39.7776140409658,16.4331421263646,4.30867680626701,6.73819469090975,4769.926147194,5.54438485815155,43235374.0,2381000.0,11.204,17.582169560738237,8.470086100993974,14.683031545460512,39.7776140409658,3.7081332553661266,,7,40.9429758324124,3.736310977472892,42.9894132012747,3.7839489959053183,48.6481875848116,3.9049618859943185
COL,Colombia,2008,43.1971573,37.8071024,49.9302984,36.8840024517578,18.1095951350739,4.35627834630067,3.28344618616541,5541.83629665898,6.9968849555451,43758808.0,2545000.0,11.273,17.59420347621888,8.620081186310896,14.749641600893991,36.8840024517578,3.6345289240813536,,8,39.7776140409658,3.7081332553661266,40.9429758324124,3.736310977472892,42.9894132012747,3.7839489959053183
COL,Colombia,2009,41.9935632,39.1755145,48.9970118,35.7272410703666,16.4244956875755,3.45627065154005,1.13964864548062,5250.97292433518,4.20251661216481,44271541.0,2649000.0,12.066,17.60585261322832,8.566168657337226,14.789693145755079,35.7272410703666,3.603518743216944,,9,36.8840024517578,3.6345289240813536,39.7776140409658,3.7081332553661266,40.9429758324124,3.736310977472892
COL,Colombia,2010,40.2418143,43.1639794,50.7518616,34.5241750628259,16.3408447597691,2.24433595561184,4.49465897070922,6398.2958447102,2.27200227892008,44777319.0,1701000.0,11.153,17.617212296864682,8.763786959626445,14.346727459267303,34.5241750628259,3.5702134523997073,,10,35.7272410703666,3.603518743216944,36.8840024517578,3.6345289240813536,39.7776140409658,3.7081332553661266
COL,Colombia,2011,43.6714103,45.9787128,50.2483332,35.6322084408409,19.2765050733171,4.37269536127322,6.94789198173555,7400.9940695669,3.4150334477625,45259614.0,2356000.0,10.288,17.62792566963131,8.90936960389555,14.672476248201741,35.6322084408409,3.600927865468571,,11,34.5241750628259,3.5702134523997073,35.7272410703666,3.603518743216944,36.8840024517578,3.6345289240813536
COL,Colombia,2012,39.5560695,43.151392,49.2600929,35.9613009153726,18.8112052836654,4.05728041313345,3.91263576716115,8108.59838244229,3.16930188840055,45715810.0,2434000.0,9.959,17.637954747896842,9.00068030633393,14.70504696337587,35.9613009153726,3.609871444080799,,12,35.6322084408409,3.600927865468571,34.5241750628259,3.5702134523997073,35.7272410703666,3.603518743216944
COL,Colombia,2013,38.9235722,43.7037921,48.6401238,33.4159707994424,18.0864397214368,4.24252457969381,5.13399351995672,8279.10255642981,2.01699224310383,46151584.0,2595000.0,9.246,17.647441841184357,9.021489854600409,14.769097459938507,33.4159707994424,3.5385207240662275,,13,35.9613009153726,3.609871444080799,35.6322084408409,3.600927865468571,34.5241750628259,3.5702134523997073
COL,Colombia,2014,40.3387065,48.8925418,49.8831049,28.654305199833,16.6347491096509,4.24107256687862,4.49903000110972,8187.20824890084,2.89883787761737,46565429.0,2866000.0,8.799,17.65636895682362,9.010328245586576,14.868428236288546,28.654305199833,3.3896073155720416,,14,33.4159707994424,3.5385207240662275,35.9613009153726,3.609871444080799,35.6322084408409,3.600927865468571
COL,Colombia,2015,41.4314416,49.5727208,50.0884527,27.2152782480106,15.6502115094968,3.95939854860993,2.95590137527523,6248.51490534512,4.98983115849529,46969940.0,3371000.0,8.572,17.66501838059125,8.740099099350715,15.030720290864032,27.2152782480106,3.3398636130776196,,15,28.654305199833,3.3896073155720416,33.4159707994424,3.5385207240662275,35.9613009153726,3.609871444080799
COL,Colombia,2016,40.3758051,50.9727937,50.9612969,26.1438669043183,14.7171392781975,4.90164572903473,2.08738250162794,5959.84250367574,7.51346024627674,47437512.0,3675000.0,8.922,17.67492386608452,8.692799334152472,15.11706396273788,26.1438669043183,3.301151124151248,,16,27.2152782480106,3.3398636130776196,28.654305199833,3.3896073155720416,33.4159707994424,3.5385207240662275
COL,Colombia,2017,39.5383299,52.5716247,50.6762137,25.5510587151196,15.1452897484005,4.3931823276543,1.35936086788746,6479.53231292429,4.3143132569501,48131078.0,4056000.0,9.086,17.689438638701436,8.77640361281022,15.21570807080145,25.5510587151196,3.2790696231686014,,17,26.1438669043183,3.301151124151248,27.2152782480106,3.3398636130776196,28.654305199833,3.3896073155720416
COL,Colombia,2018,41.405998,54.5255309,49.701606,23.8207594532571,15.8997196775431,3.38083573220188,2.56432428277704,6816.96818309544,3.24056932930569,49024465.0,4397000.0,9.36,17.707830017187547,8.827170104063562,15.296433275590713,23.8207594532571,3.2116803777473835,,18,25.5510587151196,3.2790696231686014,26.1438669043183,3.301151124151248,27.2152782480106,3.3398636130776196
COL,Colombia,2019,42.3435637,50.4304751,49.1724423,23.3990612924966,15.8680386541241,4.33058240931506,3.18685539245533,6472.54544924705,3.52301932741446,49907985.0,4531000.0,10.28,17.725691567959988,8.77532473350093,15.326453444351083,23.3990612924966,3.194544659940113,,19,23.8207594532571,3.2116803777473835,25.5510587151196,3.2790696231686014,26.1438669043183,3.301151124151248
COL,Colombia,2020,42.6636046,54.2459136,48.6606218,22.6427030734102,13.5222755593302,2.7588942895314,-7.18591413760859,5339.68711357943,2.52663500084706,50629997.0,1396000.0,15.983,17.740054784692685,8.582922337274953,14.149122278636577,22.6427030734102,3.1630545292080723,,20,23.3990612924966,3.194544659940113,23.8207594532571,3.2116803777473835,25.5510587151196,3.2790696231686014
COL,Colombia,2021,42.3947687,48.5602739,48.2391764,25.5801274097033,16.1970059548864,3.00175693787234,10.8011981904878,6222.62164397614,3.49505757399448,51188173.0,,13.898,17.751019067232278,8.735946583102677,,25.5801274097033,3.280163846716173,,21,22.6427030734102,3.1630545292080723,23.3990612924966,3.194544659940113,23.8207594532571,3.2116803777473835
COL,Colombia,2022,42.6648919,52.0722697,47.8491027,24.9488076386337,20.3883679938331,4.97124137726565,7.32827729427979,6680.44506854481,10.1772313546166,51737944.0,,10.541,17.76170199678534,8.806939891338876,,24.9488076386337,3.2561256601413504,,22,25.5801274097033,3.280163846716173,22.6427030734102,3.1630545292080723,23.3990612924966,3.194544659940113
COL,Colombia,2023,41.6000941,52.2402416,47.2427231,24.9134420347488,17.8316784070298,4.58478761240549,0.712380031974334,7000.83660501046,11.7359044948689,52321152.0,,9.591,17.77291128321944,8.853784935897595,,24.9134420347488,3.254761831553529,,23,24.9488076386337,3.2561256601413504,25.5801274097033,3.280163846716173,22.6427030734102,3.1630545292080723
CRI,Costa Rica,2000,68.5921845,77.3356885,65.3048916,6.3234257019066,42.9303221707385,4.81846449896273,3.86871808953644,3812.75388284924,10.9615496593622,3937739.0,1278000.0,5.08,15.18611725868665,8.246107010921255,14.060807696391924,6.3234257019066,1.9910782105628315,,0,,,,,,
