country_code,country,year,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita,inflation,population,tourist_arrivals,unemployment
CO,Colombia,2000,15.915139715438,2.43950747934181,2.92486148176778,2555.00751039968,9.22534818585365,39089934.0,707000.0,20.52
CO,Colombia,2001,15.3871357665009,2.58851936306874,1.67789830787579,2472.99084035833,7.96556090304834,39709262.0,788000.0,15.04
CO,Colombia,2002,14.8155696775272,2.17844751407948,2.50398046659659,2428.92969771584,6.35150728778872,40324680.0,661000.0,14.481
CO,Colombia,2003,16.5752997117627,1.81783931129221,3.91827190322513,2311.94218760291,7.1297886294186,40937429.0,668000.0,13.221
CO,Colombia,2004,16.7707514248023,2.66083488771203,5.33302206759905,2818.57195413044,5.90402005546502,41543171.0,840000.0,13.717
CO,Colombia,2005,16.9710437391629,7.02979401438219,4.82876110773741,3456.06610874512,5.05101962689695,42128977.0,981000.0,11.062
CO,Colombia,2006,17.7285877506525,4.17238510059526,6.71686869844402,3789.85361217027,4.29342363628926,42691084.0,2096000.0,11.088
CO,Colombia,2007,16.4331421263646,4.30867680626701,6.73819469090975,4769.926147194,5.54438485815155,43235374.0,2381000.0,11.204
CO,Colombia,2008,18.1095951350739,4.35627834630067,3.28344618616541,5541.83629665898,6.9968849555451,43758808.0,2545000.0,11.273
CO,Colombia,2009,16.4244956875755,3.45627065154005,1.13964864548062,5250.97292433518,4.20251661216481,44271541.0,2649000.0,12.066
CO,Colombia,2010,16.3408447597691,2.24433595561184,4.49465897070922,6398.2958447102,2.27200227892008,44777319.0,1701000.0,11.153
CO,Colombia,2011,19.2765050733171,4.37269536127322,6.94789198173555,7400.9940695669,3.4150334477625,45259614.0,2356000.0,10.288
CO,Colombia,2012,18.8112052836654,4.05728041313345,3.91263576716115,8108.59838244229,3.16930188840055,45715810.0,2434000.0,9.959
CO,Colombia,2013,18.0864397214368,4.24252457969381,5.13399351995672,8279.10255642981,2.01699224310383,46151584.0,2595000.0,9.246
CO,Colombia,2014,16.6347491096509,4.24107256687862,4.49903000110972,8187.20824890084,2.89883787761737,46565429.0,2866000.0,8.799
CO,Colombia,2015,15.6502115094968,3.95939854860993,2.95590137527523,6248.51490534512,4.98983115849529,46969940.0,3371000.0,8.572
CO,Colombia,2016,14.7171392781975,4.90164572903473,2.08738250162794,5959.84250367574,7.51346024627674,47437512.0,3675000.0,8.922
CO,Colombia,2017,15.1452897484005,4.3931823276543,1.35936086788746,6479.53231292429,4.3143132569501,48131078.0,4056000.0,9.086
CO,Colombia,2018,15.8997196775431,3.38083573220188,2.56432428277704,6816.96818309544,3.24056932930569,49024465.0,4397000.0,9.36
CO,Colombia,2019,15.8680386541241,4.33058240931506,3.18685539245533,6472.54544924705,3.52301932741446,49907985.0,4531000.0,10.28
CO,Colombia,2020,13.5222755593302,2.7588942895314,-7.18591413760859,5339.68711357943,2.52663500084706,50629997.0,1396000.0,15.983
CO,Colombia,2021,16.1970059548864,3.00175693787234,10.8011981904878,6222.62164397614,3.49505757399448,51188173.0,,13.898
