,homicide_rate,rule_of_law,political_stability,control_corruption,institution_index,fdi_percent_gdp,gdp_growth
count,24.0,24.0,24.0,24.0,24.0,24.0,24.0
mean,51.06461371995393,44.505378699999994,64.04473858333334,38.0908743375,-9.25185853854297e-18,2.2772518011673433,2.1641071184131753
std,25.995271574904933,1.9129596151539379,2.4831840691183933,2.9031100098525626,1.2538489709368663,1.8628563841774577,3.1562980602435733
min,1.9,40.3615724,58.7190176,33.1580423,-2.329969503831183,-0.613406192808089,-7.893101359867
25%,40.336733358707896,43.1510987,62.293616650000004,36.393141025,-0.855003522856196,1.4981473777094827,1.6902794936588976
50%,57.067228361079245,44.8116502,64.03336655000001,37.41448485,-0.030666814687565155,2.014061987134675,2.323809584931265
75%,65.03078379317631,45.2498674,65.7974663,39.687941125,0.9184113946788685,2.6210170393221577,2.7325475956956824
max,107.638231074992,48.9116433,69.2463755,44.45176,2.10404635083224,9.11434743633077,11.9047617015957
