country_code,country_name,year,gdp_growth,gdp_pred
COL,Colombia,2000,2.92486148176778,0.6823112491335461
COL,Colombia,2002,2.50398046659659,0.9713697442688352
COL,Colombia,2003,3.91827190322513,1.2502174926972414
COL,Colombia,2004,5.33302206759905,1.2764540524064705
COL,Colombia,2005,4.82876110773741,1.8225285256802914
COL,Colombia,2006,6.71686869844402,1.9497195722700953
COL,Colombia,2007,6.73819469090975,2.2454006930499704
COL,Colombia,2008,3.28344618616541,2.63150015448966
COL,Colombia,2009,1.13964864548062,2.13208585679869
COL,Colombia,2010,4.49465897070922,2.3443120774877704
COL,Colombia,2011,6.94789198173555,2.8539275403874536
COL,Colombia,2012,3.91263576716115,3.0317734984952347
COL,Colombia,2013,5.13399351995672,3.0181406606355994
COL,Colombia,2014,4.49903000110972,3.0211841149424155
COL,Colombia,2015,2.95590137527523,2.8385215609873855
COL,Colombia,2016,2.08738250162794,2.91541478683319
COL,Colombia,2017,1.35936086788746,2.755884790879482
COL,Colombia,2018,2.56432428277704,2.6973276713545564
COL,Colombia,2019,3.18685539245533,2.51689469040205
COL,Colombia,2020,-7.18591413760859,1.2727622255449864
COL,Colombia,2021,10.8011981904878,1.9961932438811596
COL,Colombia,2022,7.32827729427979,3.385836722030043
COL,Colombia,2023,0.712380031974334,3.55678131324363
CRI,Costa Rica,2000,3.86871808953644,4.545906915197462
CRI,Costa Rica,2002,3.41687639041064,4.265044618715145
CRI,Costa Rica,2003,4.31717986636224,4.368107434031265
CRI,Costa Rica,2004,4.42459959654504,4.857048293056546
CRI,Costa Rica,2005,3.97666636818026,5.091437455005148
CRI,Costa Rica,2006,7.3266954325067,5.113119119084915
CRI,Costa Rica,2007,8.21513198348715,5.090737677421118
CRI,Costa Rica,2008,4.73817487754022,5.4003995689807285
CRI,Costa Rica,2009,-0.873455942787785,4.177964813249603
CRI,Costa Rica,2010,5.36034352634111,4.145196164922662
CRI,Costa Rica,2011,4.40315923970431,3.883492901264323
CRI,Costa Rica,2012,4.88259241025739,3.9489057719301472
CRI,Costa Rica,2013,2.49476611209954,4.1414490686827365
CRI,Costa Rica,2014,3.54210987765977,4.055581855597944
CRI,Costa Rica,2015,3.65208096802883,3.738587601391072
CRI,Costa Rica,2016,4.20432325175899,3.818323240214295
CRI,Costa Rica,2017,4.1576989627609,4.2156500644780595
CRI,Costa Rica,2018,2.6159044043379,4.157073321898413
CRI,Costa Rica,2019,2.41751181762513,3.937157482114782
CRI,Costa Rica,2020,-4.27335432161462,2.8356201832974444
CRI,Costa Rica,2021,7.93576224743147,3.485349559738922
CRI,Costa Rica,2022,4.55149177958398,5.0601120832507
CRI,Costa Rica,2023,5.11192183224598,4.768768054152106
DOM,República Dominicana,2000,4.65172550299128,3.8647826535148893
DOM,República Dominicana,2002,4.48650367045651,3.3935269641323123
DOM,República Dominicana,2003,-1.34935744782766,5.868059184629929
DOM,República Dominicana,2004,2.58556667449577,7.948956198674428
DOM,República Dominicana,2005,9.43178931977285,3.5401451439543026
DOM,República Dominicana,2006,9.17120650955299,3.928519000264145
DOM,República Dominicana,2007,7.41840577774235,3.9705461211105417
DOM,República Dominicana,2008,3.26808671288212,4.314515704091034
DOM,República Dominicana,2009,1.00345293018719,3.211188874220764
DOM,República Dominicana,2010,8.40114541209596,3.9075207146569264
DOM,República Dominicana,2011,3.19196227475523,3.8932953718229752
DOM,República Dominicana,2012,2.77567100848816,3.7201932043731967
DOM,República Dominicana,2013,4.93473300709881,3.7941975219499477
DOM,República Dominicana,2014,7.11122629673892,3.7829608081142423
DOM,República Dominicana,2016,6.71974078681295,3.6340318355721655
DOM,República Dominicana,2017,3.93386176401576,4.0208984197121085
DOM,República Dominicana,2018,7.09751640210159,4.118379059665684
DOM,República Dominicana,2019,4.8940301149584,3.881271000716093
DOM,República Dominicana,2020,-7.92905234231061,3.5915854856937885
DOM,República Dominicana,2021,14.0124289062207,4.082391369457967
DOM,República Dominicana,2022,5.23795652902595,4.607951319479448
DOM,República Dominicana,2023,2.19229848237939,4.267681258898828
GTM,Guatemala,2000,3.6088687174876,3.4195544822628507
GTM,Guatemala,2002,3.83928708556792,4.129637028596108
GTM,Guatemala,2003,2.56037766801896,3.8054906180972212
GTM,Guatemala,2004,3.13791683609193,3.9594760426898263
GTM,Guatemala,2005,3.27602692588886,3.9794515088294764
GTM,Guatemala,2006,5.35139778711536,3.8016658934523315
GTM,Guatemala,2007,6.33771869016203,3.914951935234158
GTM,Guatemala,2008,3.29352400028485,4.197914650753048
GTM,Guatemala,2009,0.476898106596394,3.2829537761557424
GTM,Guatemala,2010,2.88417542800377,3.5951971338826594
GTM,Guatemala,2011,4.16390688293349,3.896980379980671
GTM,Guatemala,2012,2.97470856847661,3.7204182630671356
GTM,Guatemala,2013,3.69481894978053,3.5196319312176607
GTM,Guatemala,2014,4.44397783368888,3.5512142964775917
GTM,Guatemala,2017,3.07985126948702,3.512855313100876
GTM,Guatemala,2018,3.40687348346576,3.5129121018181424
GTM,Guatemala,2019,4.01789785040324,3.525408842344995
GTM,Guatemala,2020,-1.78555175063326,3.2988059514822234
