country_code,country_name,year,year_trend,control_corruption,political_stability,rule_of_law,homicide_rate_log,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita_log,inflation,population_log,tourist_arrivals_log,unemployment
COL,Colombia,2000,0,35.2865308,29.8839848,38.8722855,4.2325423635736925,15.915139715438,2.43950747934181,2.92486148176778,7.845810442124553,9.22534818585365,17.481375549356354,13.468787359304866,20.52
COL,Colombia,2002,2,43.1304513,25.3197419,43.0749396,4.268243174540494,14.8155696775272,2.17844751407948,2.50398046659659,7.795205985691528,6.35150728778872,17.51247424642019,13.401510631691982,14.481
COL,Colombia,2003,3,44.2469541,26.0280015,43.8729139,4.068357522079989,16.5752997117627,1.81783931129221,3.91827190322513,7.745843224117566,7.1297886294186,17.527555337007097,13.41204494952365,13.221
COL,Colombia,2004,4,46.3593505,31.939793,47.8045975,3.9049618859943185,16.7707514248023,2.66083488771203,5.33302206759905,7.943985636424234,5.90402005546502,17.54224370956042,13.641158361294979,13.717
COL,Colombia,2005,5,45.8270002,31.7315837,47.3314856,3.7839489959053183,16.9710437391629,7.02979401438219,4.82876110773741,8.14788625842882,5.05101962689695,17.55624635167605,13.796328757914972,11.062
COL,Colombia,2006,6,43.7548743,34.5742712,47.4503858,3.736310977472892,17.7285877506525,4.17238510059526,6.71686869844402,8.240082672573331,4.29342363628926,17.569500650775314,14.555541801522192,11.088
COL,Colombia,2007,7,42.5056073,38.2877257,49.4009901,3.7081332553661266,16.4331421263646,4.30867680626701,6.73819469090975,8.470086100993974,5.54438485815155,17.582169560738237,14.683031545460512,11.204
COL,Colombia,2008,8,43.1971573,37.8071024,49.9302984,3.6345289240813536,18.1095951350739,4.35627834630067,3.28344618616541,8.620081186310896,6.9968849555451,17.59420347621888,14.749641600893991,11.273
COL,Colombia,2009,9,41.9935632,39.1755145,48.9970118,3.603518743216944,16.4244956875755,3.45627065154005,1.13964864548062,8.566168657337226,4.20251661216481,17.60585261322832,14.789693145755079,12.066
COL,Colombia,2010,10,40.2418143,43.1639794,50.7518616,3.5702134523997073,16.3408447597691,2.24433595561184,4.49465897070922,8.763786959626445,2.27200227892008,17.617212296864682,14.346727459267303,11.153
COL,Colombia,2011,11,43.6714103,45.9787128,50.2483332,3.600927865468571,19.2765050733171,4.37269536127322,6.94789198173555,8.90936960389555,3.4150334477625,17.62792566963131,14.672476248201741,10.288
COL,Colombia,2012,12,39.5560695,43.151392,49.2600929,3.609871444080799,18.8112052836654,4.05728041313345,3.91263576716115,9.00068030633393,3.16930188840055,17.637954747896842,14.70504696337587,9.959
COL,Colombia,2013,13,38.9235722,43.7037921,48.6401238,3.5385207240662275,18.0864397214368,4.24252457969381,5.13399351995672,9.021489854600409,2.01699224310383,17.647441841184357,14.769097459938507,9.246
COL,Colombia,2014,14,40.3387065,48.8925418,49.8831049,3.3896073155720416,16.6347491096509,4.24107256687862,4.49903000110972,9.010328245586576,2.89883787761737,17.65636895682362,14.868428236288546,8.799
COL,Colombia,2015,15,41.4314416,49.5727208,50.0884527,3.3398636130776196,15.6502115094968,3.95939854860993,2.95590137527523,8.740099099350715,4.98983115849529,17.66501838059125,15.030720290864032,8.572
COL,Colombia,2016,16,40.3758051,50.9727937,50.9612969,3.301151124151248,14.7171392781975,4.90164572903473,2.08738250162794,8.692799334152472,7.51346024627674,17.67492386608452,15.11706396273788,8.922
COL,Colombia,2017,17,39.5383299,52.5716247,50.6762137,3.2790696231686014,15.1452897484005,4.3931823276543,1.35936086788746,8.77640361281022,4.3143132569501,17.689438638701436,15.21570807080145,9.086
COL,Colombia,2018,18,41.405998,54.5255309,49.701606,3.2116803777473835,15.8997196775431,3.38083573220188,2.56432428277704,8.827170104063562,3.24056932930569,17.707830017187547,15.296433275590713,9.36
COL,Colombia,2019,19,42.3435637,50.4304751,49.1724423,3.194544659940113,15.8680386541241,4.33058240931506,3.18685539245533,8.77532473350093,3.52301932741446,17.725691567959988,15.326453444351083,10.28
COL,Colombia,2020,20,42.6636046,54.2459136,48.6606218,3.1630545292080723,13.5222755593302,2.7588942895314,-7.18591413760859,8.582922337274953,2.52663500084706,17.740054784692685,14.149122278636577,15.983
