country_code,country_name,year,time_trend,rule_of_law,control_corruption,political_stability,homicide_rate,homicide_rate_log,homicide_rate_lag1,homicide_rate_lag2,homicide_rate_lag3,homicide_rate_log_lag1,homicide_rate_log_lag2,homicide_rate_log_lag3,population,population_log,gdp_per_capita,gdp_per_capita_log,gdp_growth,inflation,unemployment,exports_percent_gdp,trade_percent_gdp,fdi_percent_gdp,tourist_arrivals,tourist_arrivals_log
COL,Colombia,2000,0,38.8722855,35.2865308,29.8839848,67.8921586309151,4.2325423635736925,,,,,,,39089934.0,17.481375549356354,2555.00751039968,7.845810442124553,2.92486148176778,9.22534818585365,20.52,15.915139715438,,2.43950747934181,707000.0,13.468787359304866
COL,Colombia,2002,2,43.0749396,43.1304513,25.3197419,70.3960948977152,4.268243174540494,67.8921586309151,,,4.2325423635736925,,,40324680.0,17.51247424642019,2428.92969771584,7.795205985691528,2.50398046659659,6.35150728778872,14.481,14.8155696775272,,2.17844751407948,661000.0,13.401510631691982
COL,Colombia,2003,3,43.8729139,44.2469541,26.0280015,57.4608630160922,4.068357522079989,70.3960948977152,67.8921586309151,,4.268243174540494,4.2325423635736925,,40937429.0,17.527555337007097,2311.94218760291,7.745843224117566,3.91827190322513,7.1297886294186,13.221,16.5752997117627,,1.81783931129221,668000.0,13.41204494952365
COL,Colombia,2004,4,47.8045975,46.3593505,31.939793,48.6481875848116,3.9049618859943185,57.4608630160922,70.3960948977152,67.8921586309151,4.068357522079989,4.268243174540494,4.2325423635736925,41543171.0,17.54224370956042,2818.57195413044,7.943985636424234,5.33302206759905,5.90402005546502,13.717,16.7707514248023,,2.66083488771203,840000.0,13.641158361294979
COL,Colombia,2005,5,47.3314856,45.8270002,31.7315837,42.9894132012747,3.7839489959053183,48.6481875848116,57.4608630160922,70.3960948977152,3.9049618859943185,4.068357522079989,4.268243174540494,42128977.0,17.55624635167605,3456.06610874512,8.14788625842882,4.82876110773741,5.05101962689695,11.062,16.9710437391629,,7.02979401438219,981000.0,13.796328757914972
COL,Colombia,2006,6,47.4503858,43.7548743,34.5742712,40.9429758324124,3.736310977472892,42.9894132012747,48.6481875848116,57.4608630160922,3.7839489959053183,3.9049618859943185,4.068357522079989,42691084.0,17.569500650775314,3789.85361217027,8.240082672573331,6.71686869844402,4.29342363628926,11.088,17.7285877506525,,4.17238510059526,2096000.0,14.555541801522192
COL,Colombia,2007,7,49.4009901,42.5056073,38.2877257,39.7776140409658,3.7081332553661266,40.9429758324124,42.9894132012747,48.6481875848116,3.736310977472892,3.7839489959053183,3.9049618859943185,43235374.0,17.582169560738237,4769.926147194,8.470086100993974,6.73819469090975,5.54438485815155,11.204,16.4331421263646,,4.30867680626701,2381000.0,14.683031545460512
COL,Colombia,2008,8,49.9302984,43.1971573,37.8071024,36.8840024517578,3.6345289240813536,39.7776140409658,40.9429758324124,42.9894132012747,3.7081332553661266,3.736310977472892,3.7839489959053183,43758808.0,17.59420347621888,5541.83629665898,8.620081186310896,3.28344618616541,6.9968849555451,11.273,18.1095951350739,,4.35627834630067,2545000.0,14.749641600893991
COL,Colombia,2009,9,48.9970118,41.9935632,39.1755145,35.7272410703666,3.603518743216944,36.8840024517578,39.7776140409658,40.9429758324124,3.6345289240813536,3.7081332553661266,3.736310977472892,44271541.0,17.60585261322832,5250.97292433518,8.566168657337226,1.13964864548062,4.20251661216481,12.066,16.4244956875755,,3.45627065154005,2649000.0,14.789693145755079
COL,Colombia,2010,10,50.7518616,40.2418143,43.1639794,34.5241750628259,3.5702134523997073,35.7272410703666,36.8840024517578,39.7776140409658,3.603518743216944,3.6345289240813536,3.7081332553661266,44777319.0,17.617212296864682,6398.2958447102,8.763786959626445,4.49465897070922,2.27200227892008,11.153,16.3408447597691,,2.24433595561184,1701000.0,14.346727459267303
COL,Colombia,2011,11,50.2483332,43.6714103,45.9787128,35.6322084408409,3.600927865468571,34.5241750628259,35.7272410703666,36.8840024517578,3.5702134523997073,3.603518743216944,3.6345289240813536,45259614.0,17.62792566963131,7400.9940695669,8.90936960389555,6.94789198173555,3.4150334477625,10.288,19.2765050733171,,4.37269536127322,2356000.0,14.672476248201741
COL,Colombia,2012,12,49.2600929,39.5560695,43.151392,35.9613009153726,3.609871444080799,35.6322084408409,34.5241750628259,35.7272410703666,3.600927865468571,3.5702134523997073,3.603518743216944,45715810.0,17.637954747896842,8108.59838244229,9.00068030633393,3.91263576716115,3.16930188840055,9.959,18.8112052836654,,4.05728041313345,2434000.0,14.70504696337587
COL,Colombia,2013,13,48.6401238,38.9235722,43.7037921,33.4159707994424,3.5385207240662275,35.9613009153726,35.6322084408409,34.5241750628259,3.609871444080799,3.600927865468571,3.5702134523997073,46151584.0,17.647441841184357,8279.10255642981,9.021489854600409,5.13399351995672,2.01699224310383,9.246,18.0864397214368,,4.24252457969381,2595000.0,14.769097459938507
